20100101_20161231_2F_wrwaku_substring(nationwiningrank from 1 for 2)_50_0.1_1_1.01_9,61796,2309,24,9864,282,3,6179600,12901,2418,7309450,15260,2860,0.46,0.17,3.31,1.25,1129850,2359,442
20100101_20161231_2F_wrwaku_race.raceno_50_0.1_1_1.01_9,60352,1462,23,9338,201,3,6035200,16137,2362,7174330,19183,2807,0.49,0.16,3.90,1.27,1139130,3046,445
20100101_20161231_2F_wrwaku_race.jyocd_50_0.1_1_0.9_1,144500,2475,56,28226,717,11,14450000,31689,5655,13577040,29774,5313,0.53,0.19,1.00,0.95,-872960,-1914,-341
20100101_20161231_2F_wrwaku_race.jyocd_50_0.1_1_1.01_9,91000,958,35,14101,250,5,9100000,13809,3561,10757490,16324,4210,0.52,0.16,4.68,1.26,1657490,2515,648
20100101_20161231_2F_wrwaku_substring(levelrank from 1 for 2)_100_0.1_1_1.1_9,20286,729,7,3111,123,1,2028600,19506,793,2522950,24259,987,0.39,0.16,2.66,1.27,494350,4753,193
20100101_20161231_2F_wrwaku_race.turn_100_0.1_1_1.02_9,34814,1509,13,4755,229,1,3481400,26988,1362,3877660,30059,1517,0.35,0.14,1.79,1.15,396260,3072,155
20100101_20161231_2F_wrwaku_race.turn_200_0.1_1_1.01_9,26440,1509,10,3486,229,1,2644000,44814,1034,2874780,48725,1125,0.20,0.13,1.57,1.10,230780,3912,90
20100101_20161231_2F_wrwaku_wrwaku_200_0.1_1_1.01_9,6582,1913,2,809,183,0,658200,54850,257,731510,60959,286,0.17,0.13,1.34,1.11,73310,6109,28
