jyocd,01,21614
jyocd,02,21621
jyocd,03,18706
jyocd,04,20942
jyocd,05,21344
jyocd,06,22891
jyocd,07,21534
jyocd,08,23093
jyocd,09,21779
jyocd,10,21442
jyocd,11,19418
jyocd,12,20175
jyocd,13,21033
jyocd,14,16696
jyocd,15,21971
jyocd,16,21941
jyocd,17,20701
jyocd,18,21008
jyocd,19,20887
jyocd,20,22209
jyocd,21,21949
jyocd,22,21853
jyocd,23,21581
jyocd,24,21152
jyocd+alevelcount,01_0,736
jyocd+alevelcount,01_1,4283
jyocd+alevelcount,01_2,4461
jyocd+alevelcount,01_3,5761
jyocd+alevelcount,01_4,3492
jyocd+alevelcount,01_5,889
jyocd+alevelcount,01_6,1992
jyocd+alevelcount,02_0,2766
jyocd+alevelcount,02_1,3701
jyocd+alevelcount,02_2,3627
jyocd+alevelcount,02_3,1564
jyocd+alevelcount,02_4,8519
jyocd+alevelcount,02_5,831
jyocd+alevelcount,02_6,613
jyocd+alevelcount,03_0,2825
jyocd+alevelcount,03_1,1465
jyocd+alevelcount,03_2,4343
jyocd+alevelcount,03_3,5973
jyocd+alevelcount,03_4,3248
jyocd+alevelcount,03_5,364
jyocd+alevelcount,03_6,488
jyocd+alevelcount,04_0,1482
jyocd+alevelcount,04_1,3743
jyocd+alevelcount,04_2,2856
jyocd+alevelcount,04_3,5355
jyocd+alevelcount,04_4,5765
jyocd+alevelcount,04_5,1004
jyocd+alevelcount,04_6,737
jyocd+alevelcount,05_0,1851
jyocd+alevelcount,05_1,2728
jyocd+alevelcount,05_2,3869
jyocd+alevelcount,05_3,5562
jyocd+alevelcount,05_4,5459
jyocd+alevelcount,05_5,1018
jyocd+alevelcount,05_6,857
jyocd+alevelcount,06_0,1691
jyocd+alevelcount,06_1,3017
jyocd+alevelcount,06_2,2477
jyocd+alevelcount,06_3,8474
jyocd+alevelcount,06_4,5504
jyocd+alevelcount,06_5,941
jyocd+alevelcount,06_6,787
jyocd+alevelcount,07_0,2844
jyocd+alevelcount,07_1,1380
jyocd+alevelcount,07_2,2583
jyocd+alevelcount,07_3,7600
jyocd+alevelcount,07_4,4824
jyocd+alevelcount,07_5,1486
jyocd+alevelcount,07_6,817
jyocd+alevelcount,08_0,1291
jyocd+alevelcount,08_1,2742
jyocd+alevelcount,08_2,4118
jyocd+alevelcount,08_3,9514
jyocd+alevelcount,08_4,2876
jyocd+alevelcount,08_5,1105
jyocd+alevelcount,08_6,1447
jyocd+alevelcount,09_0,1505
jyocd+alevelcount,09_1,3611
jyocd+alevelcount,09_2,2608
jyocd+alevelcount,09_3,6951
jyocd+alevelcount,09_4,4394
jyocd+alevelcount,09_5,1980
jyocd+alevelcount,09_6,730
jyocd+alevelcount,10_0,640
