0003,nopattern,entry,bayes,730
0005,jyocd,entry,bayes,1460
0006,turn,entry,bayes,1460
0007,turn+alevelcount,entry,bayes,1825
0011,turn+raceno,entry,bayes,1825
0012,turn+racetype,entry,bayes,1825
0013,turn+level1,entry,bayes,1825
0015,nopattern,ranknationrate,bayes,730
0016,turn,ranknationrate,bayes,1460
0017,turn+alevelcount,ranknationrate,bayes,1825
0019,racetype,entry,bayes,730
0020,jyocd,ranknationrate,bayes,1460
0021,turn+racetype,ranknationrate,bayes,1825
0022,turn+raceno,ranknationrate,bayes,1825
0041,nopattern,ranknationrate,filter_bayes,730
0042,turn,ranknationrate,filter_bayes,1460
0043,nopattern,entry,filter_bayes,730
0044,turn,entry,filter_bayes,1460
0047,jyocd,entry,filter_bayes,1460
0049,jyocd,ranknationrate,filter_bayes,1460
0062,turn+level1,ranknationrate,bayes,1825
0063,racetype,ranknationrate,bayes,730
0064,turn+alevelcount,entry,filter_bayes,1825
0065,turn+raceno,entry,filter_bayes,1825
0066,turn+racetype,entry,filter_bayes,1825
0067,turn+level1,entry,filter_bayes,1825
0068,racetype,entry,filter_bayes,730
0069,turn+alevelcount,ranknationrate,filter_bayes,1825
0070,turn+raceno,ranknationrate,filter_bayes,1825
0071,turn+racetype,ranknationrate,filter_bayes,1825
0072,turn+level1,ranknationrate,filter_bayes,1825
0073,racetype,ranknationrate,filter_bayes,730
0074,turn+timezone,entry,bayes,1825
0075,turn+timezone,ranknationrate,bayes,1825
0076,turn+timezone,entry,filter_bayes,1825
0077,turn+timezone,ranknationrate,filter_bayes,1825
0079,turn+alevelcount+level1,ranknationrate,bayes,2190
0080,turn+alevelcount+level1,ranknationrate,filter_bayes,2190
0081,turn+alevelcount+level1,entry,bayes,2190
0082,turn+alevelcount+level1,entry,filter_bayes,2190
0086,turn+level12,ranknationrate,bayes,1825
0087,turn+level12,ranknationrate,filter_bayes,1825
0088,turn+level12,entry,bayes,1825
0089,turn+level12,entry,filter_bayes,1825
0090,turn+apos,ranknationrate,bayes,1825
0091,turn+apos,ranknationrate,filter_bayes,1825
0092,turn+apos,entry,bayes,1825
0093,turn+apos,entry,filter_bayes,1825
0094,turn+rank1+level1,ranknationrate,bayes,1825
0095,turn+rank1+level1,ranknationrate,filter_bayes,1825
0096,turn+rank1+level1,entry,bayes,1825
0097,turn+rank1+level1,entry,filter_bayes,1825
0100,jyocd+level12,ranknationrate,bayes,2190
0101,jyocd+level12,ranknationrate,filter_bayes,2190
0102,jyocd+level12,entry,bayes,2190
0103,jyocd+level12,entry,filter_bayes,2190
0104,nation123rank,ranknationrate,bayes,1825
0105,nation123rank,ranknationrate,filter_bayes,1825
0106,nation123rank,entry,bayes,1825
0107,nation123rank,entry,filter_bayes,1825
0108,level1234,ranknationrate,bayes,2190
0109,level1234,ranknationrate,filter_bayes,2190
0110,level1234,entry,bayes,2190
0111,level1234,entry,filter_bayes,2190
