no	pattern_name	attributes	algorithm	id	plus_month_rate	plus_days_rate	description	bettype	bet_kumiban	pattern	ranktype	waku	betcnt	hitcnt	betamt	hitamt	incomeamt	hitrate	incomerate	daily_betamt	daily_hitamt	daily_incomeamt	avg_hitamt	dev_hitamt	max_hitamt	total_month	total_days
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.71	0.38	0007	2F	13	4_5	norm2f_12	13	241	85	24100	28760	4660	0.35	1.19	33	39	6	333	203	1450	24	198
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.52	0.32	0007	2F	15	2_5	norm2f_12	15	35	11	3500	7400	3900	0.31	2.11	4	10	6	673	291	1430	21	34
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.54	0.25	0007	3F	123	3_3	norm3f_12	13	260	59	26000	33120	7120	0.23	1.27	35	45	10	553	471	2340	24	214
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.85	0.85	0007	1T	1	1_6	norm1t_23	54	28	24	2800	3280	480	0.86	1.17	3	4	1	134	22	190	13	27
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.54	0.55	0007	1T	1	3_2	norm1t_23	32	133	77	13300	15410	2110	0.58	1.16	18	21	3	199	127	840	24	108
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.58	0.55	0007	1T	1	3_3	norm1t_23	15	116	65	11600	13900	2300	0.56	1.20	15	19	4	214	125	840	24	103
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.58	0.60	0007	1T	1	3_3	norm1t_23	22	170	102	17000	18550	1550	0.60	1.09	23	25	2	186	94	500	24	141
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.67	0.60	0007	1T	1	3_3	norm1t_23	33	150	94	15000	16700	1700	0.63	1.11	20	22	2	176	75	450	24	132
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.73	0.78	0007	1T	1	4_4	norm1t_23	46	48	37	4800	6510	1710	0.77	1.36	6	8	2	173	96	560	22	46
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.69	0.61	0007	1T	2	1_3	norm1t_23	42	18	11	1800	4550	2750	0.61	2.53	2	6	4	414	287	1050	13	18
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.70	0.73	0007	1T	2	4_3	norm1t_23	12	15	11	1500	3090	1590	0.73	2.06	2	4	2	278	125	610	10	15
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.83	0.83	0007	1T	3	7_2	norm1t_23	23	6	5	600	2280	1680	0.83	3.80	0	3	3	456	176	630	6	6
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.63	0.38	0007	2T	1=	3_3	form2t2_23	32	520	101	52000	63500	11500	0.19	1.22	71	87	16	608	534	3100	24	214
6	turn+alevelcnt	entry	bayes	b_e_turn+aleve	0.20	0.16	0007	3T	142	7_6	norm3t_0	0	32	5	3200	9480	6280	0.16	2.96	4	13	9	1896	473	2420	20	32
8	turn+raceno	entry	bayes	b_e_turn+racen	0.58	0.33	0011	2F	12	5_3	norm2f_12	12	245	76	24500	31300	6800	0.31	1.28	33	42	9	420	307	2220	24	206
8	turn+raceno	entry	bayes	b_e_turn+racen	0.50	0.26	0011	3F	134	7_12	norm3f_12	14	48	12	4800	8790	3990	0.25	1.83	6	12	6	733	299	1390	22	46
8	turn+raceno	entry	bayes	b_e_turn+racen	0.35	0.21	0011	3F	136	4_9	norm3f_12	13	34	7	3400	10920	7520	0.21	3.21	4	14	10	1535	838	2870	17	33
8	turn+raceno	entry	bayes	b_e_turn+racen	0.80	0.80	0011	1T	1	2_10	norm1t_23	66	16	12	1600	2270	670	0.75	1.42	2	3	1	190	36	260	10	15
8	turn+raceno	entry	bayes	b_e_turn+racen	0.64	0.70	0011	1T	1	2_5	norm1t_23	25	71	49	7100	8490	1390	0.69	1.20	9	11	2	170	91	450	22	64
8	turn+raceno	entry	bayes	b_e_turn+racen	0.73	0.76	0011	1T	1	3_10	norm1t_23	42	25	19	2500	3800	1300	0.76	1.52	3	5	2	192	94	480	15	25
8	turn+raceno	entry	bayes	b_e_turn+racen	1.00	0.91	0011	1T	1	3_10	norm1t_23	56	11	10	1100	2000	900	0.91	1.82	1	2	1	192	78	340	8	11
8	turn+raceno	entry	bayes	b_e_turn+racen	0.73	0.59	0011	1T	1	3_3	norm1t_23	33	27	16	2700	5110	2410	0.59	1.89	3	7	4	302	199	930	15	27
8	turn+raceno	entry	bayes	b_e_turn+racen	0.63	0.50	0011	1T	1	3_4	norm1t_23	32	66	33	6600	11120	4520	0.50	1.68	9	15	6	326	316	1470	24	62
8	turn+raceno	entry	bayes	b_e_turn+racen	0.73	0.75	0011	1T	1	3_5	norm1t_23	14	29	21	2900	3840	940	0.72	1.32	3	5	2	185	88	370	15	28
8	turn+raceno	entry	bayes	b_e_turn+racen	0.67	0.73	0011	1T	1	3_5	norm1t_23	24	107	78	10700	16060	5360	0.73	1.50	14	22	8	200	147	1080	24	103
8	turn+raceno	entry	bayes	b_e_turn+racen	0.67	0.65	0011	1T	1	3_6	norm1t_23	32	55	35	5500	6730	1230	0.64	1.22	7	9	2	189	81	410	21	54
8	turn+raceno	entry	bayes	b_e_turn+racen	0.65	0.67	0011	1T	1	3_7	norm1t_23	42	47	31	4700	6720	2020	0.66	1.43	6	9	3	213	114	690	23	46
8	turn+raceno	entry	bayes	b_e_turn+racen	0.64	0.64	0011	1T	1	3_8	norm1t_23	24	77	52	7700	10110	2410	0.68	1.31	10	13	3	192	137	910	22	70
8	turn+raceno	entry	bayes	b_e_turn+racen	0.52	0.58	0011	1T	1	4_7	norm1t_23	34	63	38	6300	8560	2260	0.60	1.36	8	11	3	224	168	800	21	60
8	turn+raceno	entry	bayes	b_e_turn+racen	0.65	0.63	0011	1T	1	5_3	norm1t_23	25	41	26	4100	5590	1490	0.63	1.36	5	7	2	211	109	520	20	38
8	turn+raceno	entry	bayes	b_e_turn+racen	0.50	0.75	0011	1T	1	7_3	norm1t_23	32	75	57	7500	9210	1710	0.76	1.23	10	12	2	162	71	430	22	71
8	turn+raceno	entry	bayes	b_e_turn+racen	0.63	0.35	0011	2T	12	1_10	norm2t_3	4	158	49	15800	18900	3100	0.31	1.20	21	25	4	379	201	1110	24	141
8	turn+raceno	entry	bayes	b_e_turn+racen	0.54	0.31	0011	2T	12	2_2	norm2t_3	3	110	34	11000	14760	3760	0.31	1.34	15	20	5	441	280	1310	24	105
8	turn+raceno	entry	bayes	b_e_turn+racen	0.54	0.28	0011	2T	12	3_5	norm2t_3	4	107	29	10700	13680	2980	0.27	1.28	14	18	4	473	267	1060	24	103
8	turn+raceno	entry	bayes	b_e_turn+racen	0.61	0.39	0011	2T	12	7_10	norm2t_3	2	86	33	8600	10040	1440	0.38	1.17	11	13	2	314	98	510	23	85
8	turn+raceno	entry	bayes	b_e_turn+racen	0.58	0.27	0011	3F	123	5_3	norm3f_12	12	67	18	6700	12880	6180	0.27	1.92	9	17	8	686	598	2400	24	66
8	turn+raceno	entry	bayes	b_e_turn+racen	0.58	0.27	0011	3F	123	5_3	norm3f_123	123	67	18	6700	12880	6180	0.27	1.92	9	17	8	686	598	2400	24	66
8	turn+raceno	entry	bayes	b_e_turn+racen	0.71	0.30	0011	3F	123	7_9	norm3f_123	123	148	42	14800	20080	5280	0.28	1.36	20	27	7	467	292	1560	24	136
8	turn+raceno	entry	bayes	b_e_turn+racen	0.50	0.26	0011	3F	134	7_12	norm3f_123	143	48	12	4800	8790	3990	0.25	1.83	6	12	6	733	299	1390	22	46
8	turn+raceno	entry	bayes	b_e_turn+racen	0.35	0.21	0011	3F	136	4_9	norm3f_123	136	34	7	3400	10920	7520	0.21	3.21	4	14	10	1535	838	2870	17	33
8	turn+raceno	entry	bayes	b_e_turn+racen	0.46	0.20	0011	3T	123	7_11	norm3t_0	0	183	33	18300	23470	5170	0.18	1.28	25	32	7	707	263	1340	24	160
8	turn+raceno	entry	bayes	b_e_turn+racen	0.58	0.18	0011	3T	123	7_9	norm3t_0	0	148	24	14800	25300	10500	0.16	1.71	20	34	14	1020	588	2430	24	136
8	turn+raceno	entry	bayes	b_e_turn+racen	0.57	0.36	0011	3F	123	2_4	norm3f_12	13	58	21	5800	9780	3980	0.36	1.69	7	13	6	456	284	1430	21	56
