ymd	sime	jyocd	raceno	description	pattern	bettype	predict_rank123	result_rank123	bet_kumiban	bet_odds	bet_oddsrank	result_kumiban	result_odds	result_oddsrank	result_amt	hity	hitn	betamt	hitamt
20181115	1403	02	8	0013	1_B1	1T	126	362	1	0.00	0	3	3.79	0	380	0	1	100	0
20181115	1431	02	9	0013	1_B1	1T	112	453	1	0.00	0	4	5.09	0	510	0	1	100	0
20181116	1257	06	6	0013	1_B1	1T	124	215	1	0.00	0	2	1.70	0	170	0	1	100	0
20181116	1328	06	7	0013	1_B1	1T	112	214	1	0.00	0	2	5.59	0	560	0	1	100	0
20181116	1407	04	8	0013	1_B1	1T	116	362	1	0.00	0	3	3.00	0	300	0	1	100	0
20181116	1430	06	9	0013	1_B1	1T	115	124	1	0.00	0	1	1.60	0	160	1	0	100	160
20181117	1124	13	3	0013	1_B1	1T	132	346	1	0.00	0	3	2.00	0	200	0	1	100	0
20181117	1518	07	1	0013	1_B1	1T	155	126	1	0.00	0	1	1.00	0	100	1	0	100	100
20181121	1124	03	2	0013	1_B1	1T	115	126	1	0.00	0	1	1.79	0	180	1	0	100	180
20181118	1132	11	3	0013	1_B1	1T	146	345	1	0.00	0	3	3.79	0	380	0	1	100	0
20181118	1159	11	4	0013	1_B1	1T	145	435	1	0.00	0	4	2.20	0	220	0	1	100	0
20181118	1400	11	8	0013	1_B1	1T	166	634	1	0.00	0	6	1.29	0	130	0	1	100	0
20181118	1432	11	9	0013	1_B1	1T	124	245	1	0.00	0	2	13.50	0	1350	0	1	100	0
20181119	1122	18	6	0013	1_B1	1T	144	134	1	0.00	0	1	2.70	0	270	1	0	100	270
20181119	1136	14	6	0013	1_B1	1T	123	124	1	0.00	0	1	3.59	0	360	1	0	100	360
20181119	1152	18	7	0013	1_B1	1T	123	324	1	0.00	0	3	5.69	0	570	0	1	100	0
20181119	1209	14	7	0013	1_B1	1T	145	142	1	0.00	0	1	2.20	0	220	1	0	100	220
20181119	1236	14	8	0013	1_B1	1T	144	135	1	0.00	0	1	2.09	0	210	1	0	100	210
20181119	1304	14	9	0013	1_B1	1T	113	452	1	0.00	0	4	19.50	0	1950	0	1	100	0
20181119	1332	14	10	0013	1_B1	1T	126	216	1	0.00	0	2	2.09	0	210	0	1	100	0
20181119	1732	12	6	0013	1_B1	1T	153	213	1	0.00	0	2	2.79	0	280	0	1	100	0
20181119	1800	12	7	0013	1_B1	1T	123	214	1	0.00	0	2	1.79	0	180	0	1	100	0
20181120	1059	09	2	0013	1_B1	1T	134	134	1	0.00	0	1	1.39	0	140	1	0	100	140
20181120	1100	02	1	0013	1_B1	1T	121	123	1	0.00	0	1	1.89	0	190	1	0	100	190
20181120	1126	09	3	0013	1_B1	1T	152	461	1	0.00	0	4	8.69	0	870	0	1	100	0
20181120	1154	09	4	0013	1_B1	1T	115	461	1	0.00	0	4	2.90	0	290	0	1	100	0
20181120	1217	02	4	0013	1_B1	1T	133	413	1	0.00	0	4	10.89	0	1090	0	1	100	0
20181120	1353	09	8	0013	1_B1	1T	126	265	1	0.00	0	2	1.79	0	180	0	1	100	0
20181120	1423	09	9	0013	1_B1	1T	124	132	1	0.00	0	1	3.79	0	380	1	0	100	380
20181121	1150	16	4	0013	1_B1	1T	163	123	1	0.00	0	1	2.70	0	270	1	0	100	270
20181121	1218	03	4	0013	1_B1	1T	134	315	1	0.00	0	3	2.20	0	220	0	1	100	0
20181121	1220	16	5	0013	1_B1	1T	122	123	1	0.00	0	1	2.20	0	220	1	0	100	220
20181121	1334	03	7	0013	1_B1	1T	123	612	1	0.00	0	6	12.89	0	1290	0	1	100	0
20181121	1624	24	3	0013	1_B1	1T	133	615	1	0.00	0	6	7.59	0	760	0	1	100	0
20181123	1705	01	5	0013	1_B1	1T	134	432	1	0.00	0	4	5.09	0	510	0	1	100	0
20181123	1102	05	2	0013	1_B1	1T	114	324	1	0.00	0	3	1.60	0	160	0	1	100	0
20181123	1114	08	2	0013	1_B1	1T	166	265	1	0.00	0	2	12.00	0	1200	0	1	100	0
20181123	1128	05	3	0013	1_B1	1T	142	125	1	0.00	0	1	3.00	0	300	1	0	100	300
20181123	1141	22	3	0013	1_B1	1T	136	153	1	0.00	0	1	1.79	0	180	1	0	100	180
20181123	1209	22	4	0013	1_B1	1T	135	134	1	0.00	0	1	2.70	0	270	1	0	100	270
20181123	1218	10	5	0013	1_B1	1T	126	146	1	0.00	0	1	2.20	0	220	1	0	100	220
20181123	1246	10	6	0013	1_B1	1T	143	125	1	0.00	0	1	8.19	0	820	1	0	100	820
20181123	1316	05	7	0013	1_B1	1T	152	125	1	0.00	0	1	1.20	0	120	1	0	100	120
20181123	1330	08	7	0013	1_B1	1T	115	456	1	0.00	0	4	1.79	0	180	0	1	100	0
20181123	1412	10	9	0013	1_B1	1T	112	136	1	0.00	0	1	1.50	0	150	1	0	100	150
20181123	1440	22	9	0013	1_B1	1T	125	624	1	0.00	0	6	36.70	0	3670	0	1	100	0
20181123	1444	10	10	0013	1_B1	1T	116	324	1	0.00	0	3	9.69	0	970	0	1	100	0
20181123	1518	07	1	0013	1_B1	1T	113	132	1	0.00	0	1	1.10	0	110	1	0	100	110
20181123	1609	07	3	0013	1_B1	1T	134	164	1	0.00	0	1	1.89	0	190	1	0	100	190
20181123	1611	01	3	0013	1_B1	1T	115	213	1	0.00	0	2	3.70	0	370	0	1	100	0
20181123	1635	07	4	0013	1_B1	1T	123	136	1	0.00	0	1	2.09	0	210	1	0	100	210
20181123	1638	01	4	0013	1_B1	1T	121	231	1	0.00	0	2	4.80	0	480	0	1	100	0
20181125	1103	17	2	0013	1_B1	1T	134	124	1	0.00	0	1	2.59	0	260	1	0	100	260
20181125	1200	17	4	0013	1_B1	1T	134	531	1	0.00	0	5	13.60	0	1360	0	1	100	0
20181126	1304	14	9	0013	1_B1	1T	123	312	1	0.00	0	3	1.29	0	130	0	1	100	0
20181126	1324	13	7	0013	1_B1	1T	164	162	1	0.00	0	1	1.60	0	160	1	0	100	160
20181126	1355	13	8	0013	1_B1	1T	114	342	1	0.00	0	3	2.70	0	270	0	1	100	0
20181126	1517	20	1	0013	1_B1	1T	132	126	1	0.00	0	1	1.70	0	170	1	0	100	170
20181126	1643	20	4	0013	1_B1	1T	114	215	1	0.00	0	2	7.40	0	740	0	1	100	0
20181128	1652	24	4	0013	1_B1	1T	145	426	1	0.00	0	4	3.59	0	360	0	1	100	0
20181127	1126	04	2	0013	1_B1	1T	144	154	1	0.00	0	1	1.39	0	140	1	0	100	140
20181127	1151	04	3	0013	1_B1	1T	126	541	1	0.00	0	5	2.40	0	240	0	1	100	0
20181127	1217	04	4	0013	1_B1	1T	124	213	1	0.00	0	2	2.29	0	230	0	1	100	0
20181126	1027	14	4	0013	1_B1	1T	122	321	1	0.00	0	3	1.10	0	110	0	1	100	0
20181126	1100	13	2	0013	1_B1	1T	143	134	1	0.00	0	1	2.50	0	250	1	0	100	250
20181126	1127	13	3	0013	1_B1	1T	113	143	1	0.00	0	1	1.70	0	170	1	0	100	170
20181126	1154	13	4	0013	1_B1	1T	162	146	1	0.00	0	1	3.29	0	330	1	0	100	330
20181126	1209	14	7	0013	1_B1	1T	142	241	1	0.00	0	2	8.80	0	880	0	1	100	0
20181126	1236	14	8	0013	1_B1	1T	125	321	1	0.00	0	3	34.00	0	3400	0	1	100	0
20181128	1044	23	5	0013	1_B1	1T	136	136	1	0.00	0	1	1.70	0	170	1	0	100	170
20181128	1115	23	6	0013	1_B1	1T	134	321	1	0.00	0	3	4.00	0	400	0	1	100	0
20181128	1147	23	7	0013	1_B1	1T	135	251	1	0.00	0	2	9.00	0	900	0	1	100	0
20181128	1251	23	9	0013	1_B1	1T	144	253	1	0.00	0	2	1.50	0	150	0	1	100	0
20181128	1326	23	10	0013	1_B1	1T	133	453	1	0.00	0	4	10.50	0	1050	0	1	100	0
20181128	1624	24	3	0013	1_B1	1T	132	125	1	0.00	0	1	2.70	0	270	1	0	100	270
20181129	1059	09	2	0013	1_B1	1T	125	215	1	0.00	0	2	1.79	0	180	0	1	100	0
20181129	1154	09	4	0013	1_B1	1T	153	125	1	0.00	0	1	3.00	0	300	1	0	100	300
20181129	1214	02	4	0013	1_B1	1T	115	346	1	0.00	0	3	3.40	0	340	0	1	100	0
20181129	1254	09	6	0013	1_B1	1T	146	462	1	0.00	0	4	1.60	0	160	0	1	100	0
20181129	1307	02	6	0013	1_B1	1T	114	215	1	0.00	0	2	3.50	0	350	0	1	100	0
20181129	1323	09	7	0013	1_B1	1T	142	132	1	0.00	0	1	2.90	0	290	1	0	100	290
20181129	1517	15	1	0013	1_B1	1T	124	124	1	0.00	0	1	1.29	0	130	1	0	100	130
20181129	1545	15	2	0013	1_B1	1T	124	453	1	0.00	0	4	5.69	0	570	0	1	100	0
20181129	1908	15	9	0013	1_B1	1T	123	124	1	0.00	0	1	1.29	0	130	1	0	100	130
20181130	1153	03	3	0013	1_B1	1T	132	315	1	0.00	0	3	12.69	0	1270	0	1	100	0
20181130	1218	03	4	0013	1_B1	1T	116	364	1	0.00	0	3	1.29	0	130	0	1	100	0
20181130	1401	03	8	0013	1_B1	1T	132	165	1	0.00	0	1	4.59	0	460	1	0	100	460
20181201	1055	16	2	0013	1_B1	1T	115	123	1	0.00	0	1	1.20	0	120	1	0	100	120
20181201	1122	16	3	0013	1_B1	1T	166	146	1	0.00	0	1	2.70	0	270	1	0	100	270
20181201	1150	16	4	0013	1_B1	1T	124	316	1	0.00	0	3	3.40	0	340	0	1	100	0
20181202	1750	19	6	0013	1_B1	1T	145	215	1	0.00	0	2	3.70	0	370	0	1	100	0
20181201	1220	16	5	0013	1_B1	1T	132	243	1	0.00	0	2	2.70	0	270	0	1	100	0
20181201	1352	16	8	0013	1_B1	1T	153	132	1	0.00	0	1	1.39	0	140	1	0	100	140
20181205	1517	20	1	0013	1_B1	1T	132	421	1	0.00	0	4	4.90	0	490	0	1	100	0
20181202	1651	19	4	0013	1_B1	1T	126	362	1	0.00	0	3	8.60	0	860	0	1	100	0
20181203	1027	14	4	0013	1_B1	1T	146	132	1	0.00	0	1	1.89	0	190	1	0	100	190
20181203	1103	17	2	0013	1_B1	1T	133	316	1	0.00	0	3	6.30	0	630	0	1	100	0
20181203	1131	17	3	0013	1_B1	1T	134	432	1	0.00	0	4	9.89	0	990	0	1	100	0
20181203	1136	14	6	0013	1_B1	1T	134	614	1	0.00	0	6	1.50	0	150	0	1	100	0
20181203	1209	14	7	0013	1_B1	1T	152	453	1	0.00	0	4	4.90	0	490	0	1	100	0
20181203	1239	14	8	0013	1_B1	1T	143	631	1	0.00	0	6	5.40	0	540	0	1	100	0
20181203	1332	17	7	0013	1_B1	1T	151	162	1	0.00	0	1	5.00	0	500	1	0	100	500
20181204	1051	18	5	0013	1_B1	1T	123	246	1	0.00	0	2	1.20	0	120	0	1	100	0
20181204	1114	22	2	0013	1_B1	1T	126	641	1	0.00	0	6	5.09	0	510	0	1	100	0
20181204	1115	05	2	0013	1_B1	1T	123	341	1	0.00	0	3	4.50	0	450	0	1	100	0
20181204	1224	18	8	0013	1_B1	1T	123	536	1	0.00	0	5	6.40	0	640	0	1	100	0
20181204	1230	05	5	0013	1_B1	1T	145	124	1	0.00	0	1	1.70	0	170	1	0	100	170
