201805100102910,20180416,rule2T.properties,9,10,381400
201805100102989,20180417,rule2T.properties,8,8,490900
20180510010248,20180418,rule2T.properties,4,5,548019
20180510010296,20180419,rule2T.properties,6,7,657549
201805100102142,20180420,rule2T.properties,5,6,651259
201805100102210,20180421,rule2T.properties,6,6,685499
201805100102269,20180422,rule2T.properties,4,4,650899
201805100102328,20180423,rule2T.properties,5,7,656249
201805100102382,20180424,rule2T.properties,6,9,581249
201805100102424,20180425,rule2T.properties,4,5,587349
201805100102503,20180426,rule2T.properties,8,10,570709
201805100102573,20180427,rule2T.properties,8,9,706369
201805100102653,20180428,rule2T.properties,9,12,683408
201805100102742,20180429,rule2T.properties,10,10,691988
201805100102865,20180430,rule2T.properties,11,12,693048
201805100102984,20180501,rule2T.properties,8,9,646248
20180510010278,20180502,rule2T.properties,10,13,658018
201805100102124,20180503,rule2T.properties,4,4,735558
201805100102217,20180504,rule2T.properties,7,10,661358
201805100102305,20180505,rule2T.properties,10,12,779338
