201811152343333,20180101,stat_2T.properties,13,84,0,1000000,0,0,0
20181115234398,20180102,stat_2T.properties,17,98,0,1000000,0,0,0
201811152343838,20180103,stat_2T.properties,19,118,0,1000000,0,0,0
201811152343393,20180104,stat_2T.properties,18,100,0,1000000,0,0,0
201811152343952,20180105,stat_2T.properties,17,107,0,1000000,0,0,0
201811152343464,20180106,stat_2T.properties,15,92,0,1000000,0,0,0
201811152343978,20180107,stat_2T.properties,17,105,0,1000000,0,0,0
201811152343568,20180108,stat_2T.properties,16,103,0,1000000,0,0,0
201811152343997,20180109,stat_2T.properties,11,66,0,1000000,0,0,0
201811152343402,20180110,stat_2T.properties,10,60,0,1000000,0,0,0
201811152343949,20180111,stat_2T.properties,14,93,0,1000000,0,0,0
201811152349804,20180101,stat_2T.properties,13,84,-1872,998128,84,23,77
201811152349246,20180102,stat_2T.properties,17,98,-3782,994346,182,19,71
201811152349763,20180103,stat_2T.properties,19,118,-2300,992046,300,20,72
201811152349224,20180104,stat_2T.properties,18,100,-1732,990314,400,20,73
201811152349651,20180105,stat_2T.properties,17,107,-3042,987272,507,20,74
20181115234922,20180106,stat_2T.properties,15,92,-1132,986140,599,21,75
201811152349423,20180107,stat_2T.properties,17,105,-2331,983809,704,21,75
201811152349815,20180108,stat_2T.properties,16,103,-2752,981057,807,20,75
201811152349111,20180109,stat_2T.properties,11,66,-3872,977185,873,20,75
201811152349426,20180110,stat_2T.properties,10,60,-3080,974105,933,19,74
201811152349859,20180111,stat_2T.properties,14,93,-3491,970614,1026,19,74
201811152349251,20180112,stat_2T.properties,13,68,-2781,967833,1094,19,73
201811152349749,20180113,stat_2T.properties,15,81,-1383,966450,1175,19,73
201811152349288,20180114,stat_2T.properties,17,95,-171,966279,1270,20,73
201811152349790,20180115,stat_2T.properties,14,82,-1705,964574,1352,20,73
201811152349195,20180116,stat_2T.properties,12,68,-970,963604,1420,20,73
201811152349545,20180117,stat_2T.properties,9,62,559,964163,1482,21,73
201811152349807,20180118,stat_2T.properties,8,47,170,964333,1529,21,74
20181115234928,20180119,stat_2T.properties,7,42,-1660,962673,1571,21,74
201811152349322,20180120,stat_2T.properties,9,57,9,962682,1628,21,74
