02	1212	5	16	63	10	8580	15.87	136.19	2280	0.02
02	1212	6	14	56	10	8750	17.86	156.25	3150	0.02
02	1212	7	13	54	11	7120	20.37	131.85	1720	0.02
02	1212	8	14	49	9	6080	18.37	124.08	1180	0.02
02	1221	1	12	25	9	2730	36.00	109.20	230	0.01
02	1221	3	12	23	9	2600	39.13	113.04	300	0.01
02	1221	4	12	19	11	3140	57.89	165.26	1240	0.01
02	1312	7	12	17	8	2450	47.06	144.12	750	0.01
02	1312	10	12	27	10	2790	37.04	103.33	90	0.01
02	1313	2	13	60	21	6150	35.00	102.50	150	0.02
02	1313	2	16	60	8	11010	13.33	183.50	5010	0.02
02	1313	3	14	78	17	11250	21.79	144.23	3450	0.03
02	1313	3	16	78	9	8720	11.54	111.79	920	0.03
02	1313	6	12	71	15	11020	21.13	155.21	3920	0.03
02	1313	6	15	71	8	10230	11.27	144.08	3130	0.03
02	1313	7	12	53	9	6950	16.98	131.13	1650	0.02
02	1313	8	12	47	11	6610	23.40	140.64	1910	0.02
02	1313	10	12	33	11	5910	33.33	179.09	2610	0.01
02	1314	1	13	27	10	3450	37.04	127.78	750	0.01
02	1315	4	14	44	12	8070	27.27	183.41	3670	0.02
02	1315	6	12	48	14	6380	29.17	132.92	1580	0.02
02	1316	7	16	18	8	4010	44.44	222.78	2210	0.01
02	1412	5	12	24	8	2730	33.33	113.75	330	0.01
02	1412	6	12	19	8	1990	42.11	104.74	90	0.01
02	1412	9	14	24	8	3490	33.33	145.42	1090	0.01
02	1412	10	12	24	12	3430	50.00	142.92	1030	0.01
02	1414	1	12	223	55	26530	24.66	118.97	4230	0.09
02	1414	2	12	197	44	22010	22.34	111.73	2310	0.08
02	1414	3	16	158	12	18220	7.59	115.32	2420	0.06
02	1414	3	46	158	14	29830	8.86	188.80	14030	0.06
02	1414	4	16	132	11	17840	8.33	135.15	4640	0.05
02	1414	4	34	132	9	14760	6.82	111.82	1560	0.05
02	1414	5	46	124	10	20820	8.06	167.90	8420	0.05
02	1414	6	16	117	11	12690	9.40	108.46	990	0.05
02	1414	6	24	117	9	13670	7.69	116.84	1970	0.05
02	1414	6	34	117	9	14070	7.69	120.26	2370	0.05
02	1414	8	15	123	11	13990	8.94	113.74	1690	0.05
02	1414	8	16	123	13	15240	10.57	123.90	2940	0.05
02	1414	9	13	91	21	10910	23.08	119.89	1810	0.04
02	1414	9	45	91	9	19970	9.89	219.45	10870	0.04
02	1414	10	13	61	13	6680	21.31	109.51	580	0.02
02	1415	1	13	56	11	6300	19.64	112.50	700	0.02
02	1415	1	14	56	14	7020	25.00	125.36	1420	0.02
02	1415	1	15	56	11	7970	19.64	142.32	2370	0.02
02	1415	2	13	49	12	6670	24.49	136.12	1770	0.02
02	1415	4	15	48	13	7340	27.08	152.92	2540	0.02
02	1415	5	15	28	8	5260	28.57	187.86	2460	0.01
02	1441	1	12	47	13	6750	27.66	143.62	2050	0.02
02	1441	1	14	47	12	5230	25.53	111.28	530	0.02
02	1441	2	13	56	9	7870	16.07	140.54	2270	0.02
02	1515	1	13	54	8	6540	14.81	121.11	1140	0.02
02	1515	2	12	43	10	4630	23.26	107.67	330	0.02
02	1515	3	12	40	9	4860	22.50	121.50	860	0.02
02	1515	6	12	39	10	5480	25.64	140.51	1580	0.02
02	1515	7	13	39	8	4210	20.51	107.95	310	0.02
02	1515	7	15	39	11	4560	28.21	116.92	660	0.02
02	1515	8	15	32	11	3340	34.38	104.38	140	0.01
02	1515	9	15	23	10	3070	43.48	133.48	770	0.01
02	1551	3	12	37	10	4720	27.03	127.57	1020	0.01
02	1551	4	15	28	8	3330	28.57	118.93	530	0.01
